"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 00","10.46","10.49","11.73","9.98","48.35M","0.97%"
"Aug 00","10.36","9.71","10.64","9.35","45.02M","6.69%"
"Jul 00","9.71","10.16","11.00","8.90","42.57M","-3.86%"
"Jun 00","10.10","11.33","11.54","10.07","41.60M","-11.09%"
"May 00","11.36","10.28","11.66","10.13","43.57M","10.51%"
"Apr 00","10.28","9.86","10.61","9.47","52.70M","3.32%"
"Mar 00","9.95","7.73","10.04","7.64","71.59M","29.22%"
"Feb 00","7.70","9.50","9.65","7.55","67.52M","-19.20%"
"Jan 00","9.53","10.28","10.85","9.23","46.98M","-8.10%"
"Dec 99","10.37","10.43","10.73","9.32","39.66M","-1.43%"
"Nov 99","10.52","11.00","11.78","10.40","34.22M","-3.84%"
"Oct 99","10.94","11.03","11.24","10.10","37.38M","-1.35%"
"Sep 99","11.09","10.52","11.66","10.25","45.71M","6.63%"
"Aug 99","10.40","9.32","10.46","9.23","43.90M","10.87%"
"Jul 99","9.38","10.13","10.58","9.05","39.35M","-7.40%"
"Jun 99","10.13","10.10","10.67","9.77","30.40M","0.00%"
"May 99","10.13","9.68","10.31","9.56","33.10M","4.65%"
"Apr 99","9.68","8.66","10.16","8.51","43.65M","12.17%"
"Mar 99","8.63","7.16","8.81","7.01","67.83M","20.03%"
"Feb 99","7.19","7.31","7.76","7.10","48.59M","-1.24%"
"Jan 99","7.28","8.21","8.48","7.16","57.36M","-10.01%"
"Dec 98","8.09","9.71","9.77","7.97","40.71M","-16.68%"
"Nov 98","9.71","9.62","10.43","9.50","22.98M","1.89%"
"Oct 98","9.53","10.31","10.73","9.41","35.42M","-7.57%"
"Sep 98","10.31","8.87","11.00","8.42","42.07M","16.23%"
"Aug 98","8.87","10.61","10.85","8.84","40.30M","-16.87%"
"Jul 98","10.67","12.89","13.13","10.40","26.93M","-17.61%"
"Jun 98","12.95","13.25","13.37","11.90","39.82M","-2.26%"
"May 98","13.25","14.15","14.39","13.25","24.90M","-6.16%"
"Apr 98","14.12","14.03","14.39","13.70","41.26M","0.86%"
"Mar 98","14.00","12.26","14.60","12.11","67.03M","14.19%"
"Feb 98","12.26","12.29","12.56","11.81","57.41M","0.25%"
"Jan 98","12.23","14.12","14.12","11.93","59.75M","-13.02%"
"Dec 97","14.06","14.27","14.75","13.61","44.38M","-1.06%"
"Nov 97","14.21","13.43","14.45","13.43","41.42M","6.52%"
"Oct 97","13.34","12.47","14.45","12.41","82.79M","7.23%"
"Sep 97","12.44","11.30","12.59","11.27","50.31M","10.68%"
"Aug 97","11.24","11.96","12.35","11.21","42.14M","-6.49%"
"Jul 97","12.02","12.02","12.41","11.21","65.96M","0.00%"
"Jun 97","12.02","11.21","12.41","11.09","44.73M","7.80%"
"May 97","11.15","10.55","11.51","10.43","36.55M","5.69%"
"Apr 97","10.55","11.69","11.75","10.49","42.07M","-10.67%"
"Mar 97","11.81","12.23","12.41","11.69","34.18M","-3.91%"
"Feb 97","12.29","12.29","12.59","11.93","39.10M","0.49%"
"Jan 97","12.23","11.27","12.83","11.09","57.95M","9.10%"
"Dec 96","11.21","11.45","11.69","10.31","43.39M","-2.61%"
"Nov 96","11.51","11.75","12.11","11.27","49.23M","-2.04%"
"Oct 96","11.75","11.21","12.29","11.09","33.07M","4.82%"
"Sep 96","11.21","11.27","11.63","10.97","36.19M","0.54%"
"Aug 96","11.15","10.67","11.69","10.61","26.69M","3.91%"
"Jul 96","10.73","11.99","12.41","10.31","33.40M","-9.60%"
"Jun 96","11.87","12.29","12.41","11.63","32.92M","-4.35%"
"May 96","12.41","12.35","13.01","11.81","36.74M","0.98%"
"Apr 96","12.29","12.89","13.07","11.87","53.55M","-3.76%"
"Mar 96","12.77","11.03","12.95","10.97","66.18M","15.15%"
"Feb 96","11.09","10.25","11.63","10.25","48.09M","7.57%"
"Jan 96","10.31","10.25","10.79","9.65","51.06M","0.59%"
"Dec 95","10.25","10.67","10.85","9.65","51.22M","-3.39%"
"Nov 95","10.61","10.31","11.27","10.01","39.38M","2.91%"
